Egg.ID,mean_num_position_changes,position_var,temp_mean,temp_var,rh_mean,rh_var,Facility,Fate,Fate_Treatment,Year,Egg_Treatment,Treatment,Treatment2,Egg type,Logger.ID,Pair.ID,Hatch.Assisted,Lay.date,Egg.age.pairing,Egg.age.at.hatch.fail,Paired.date,Unpaired.date,Hatch.fail.date,Comment
Y42#5,1.30873494,490.8473684,37.19477915,0.155916719,57.91492401,4.033147162,Patuxent,Hatched,Hatched GQF1,2015,SHC-GQF1,GQF1,AI,SHC,P-9,22,No,123,0,29,123,151,152,
R30#1,2.596774194,109.9152609,37.77517259,0.112991491,55.50120768,2.269453771,Patuxent,Failed,Failed GQF2,2015,SHC-GQF2,GQF2,AI,SHC,P-10,20,NA,96,4,22,100,118,113-118,
S2#6,1.725646123,80.22452713,37.85577565,0.123711789,58.25857786,17.71877463,Patuxent,Hatched,Hatched GQF2,2015,SHC-GQF2,GQF2,AI,SHC,P-10,17,No,169,5,28,174,195,197,
S17#2,2.209859155,96.53806449,37.75283675,0.367249418,57.12363985,11.73504295,Patuxent,Failed,Failed GQF2,2015,SHC-GQF2,GQF2,AI,SHC,P-10,16,NA,119,1,31,120,150,150,
S18#4.2,1.29233871,366.3502895,37.01641988,0.14398719,53.76217553,1.961308943,Patuxent,Hatched,Hatched GQF1,2016,SHC-GQF1,GQF1,AI,SHC,P-1,16,No,165,1,23,166,187,188,
Y27#2,1.286337209,363.1094805,36.9377266,0.428317564,57.84721662,4.037363383,Patuxent,Hatched,Hatched GQF1,2016,SHC-GQF1,GQF1,AI,SHC,P-1,23,No,96,0,30,96,125,126,
Y17#1b,0.586956522,30.49551056,37.81906983,0.237526341,55.40491768,3.328296007,Patuxent,Hatched,Hatched GQF2,2016,SHC-GQF2,GQF2,AI,SHC,P-3,24,No,110,2,31,112,139,141,
B6#3,2.713717694,877.5793878,33.45769332,5.579379691,59.27842562,41.05932159,Patuxent,Hatched,Hatched SHC,2016,WC-SHC,SHC,NI,WC,P-4,25,No,118,1,28,119,140,146,
Y17#1g,2.467741935,709.7352228,32.72982501,3.643359055,52.79510104,53.21151744,Patuxent,Hatched,Hatched SHC,2016,SHC-SHC,SHC,NI,SHC,P-6,24,No,110,2,32,112,138,142,
Y17#2b,2.336569579,808.9861349,32.40365083,4.789435501,53.88108951,60.7247622,Patuxent,Hatched,Hatched SHC,2016,SHC-SHC,SHC,NI,SHC,P-7,24,No,113,1,30,114,140,143,
Y27#1,0.98852459,155.4223089,36.9315399,0.013069602,60.84583449,10.28824986,Patuxent,Failed,Failed P,2016,SHC-P,P,AI,SHC,P-9,23,NA,94,2,27,96,121,121,
B6#4,3.532934132,1172.505721,32.60711399,2.373670852,59.47742166,45.05185687,Patuxent,Failed,Failed WC,2016,WC-WC,WC,NI,WC,T3,25,NA,117,1,22,118,139,139,
S18#3,3.316633267,1240.035843,35.9836634,1.297215127,61.42112652,36.89202359,Patuxent,Hatched,Hatched SHC,2016,SHC-SHC,SHC,NI,SHC,P-2,16,No,162,4,29,166,187,191,
R34#1,0.640488656,177.9320494,37.21107059,0.103320022,56.40981038,8.077247279,Patuxent,Hatched,Hatched GQF1,2017,SHC-GQF1,GQF1,AI,SHC,P-1,15,No,102,6,32,108,132,134,
