"Egg","Logger","Trt","Facility","Year","Pair.ID","Paired.date","Unpaired.date","Last.alive.day","Hatch.fail.date","Day","temp_mean","temp_var","rh_mean","rh_var","rot_mean","rot_var","Outcome"
4,9,"SHC-GQF2","ICF",2015,9,134,162,164,164,143,37.37,0.012033333,45.52333333,0.371008333,8,27,0
4,9,"SHC-GQF2","ICF",2015,9,134,162,164,164,144,37.38777778,0.009603704,46.92666667,0.068908333,4.666666667,30.33333333,0
4,9,"SHC-GQF2","ICF",2015,9,134,162,164,164,145,37.37,0.012033333,47.45,0.2028,6.666666667,20.33333333,0
4,9,"SHC-GQF2","ICF",2015,9,134,162,164,164,146,37.46888889,0.002314815,47.62166667,0.364008333,6.666666667,26.33333333,0
4,9,"SHC-GQF2","ICF",2015,9,134,162,164,164,147,37.35222222,0.022048148,46.22833333,0.023408333,2,0,0
4,9,"SHC-GQF2","ICF",2015,9,134,162,164,164,148,37.45111111,0.006225926,46.315,0.643125,5,27,0
4,9,"SHC-GQF2","ICF",2015,9,134,162,164,164,149,37.45111111,0.016359259,46.22666667,0.434658333,7.666666667,24.33333333,0
4,9,"SHC-GQF2","ICF",2015,9,134,162,164,164,150,37.43333333,0.012033333,47.09833333,1.122408333,8,27,0
4,9,"SHC-GQF2","ICF",2015,9,134,162,164,164,151,37.45111111,0.006225926,45.61333333,0.278258333,8,27,0
4,9,"SHC-GQF2","ICF",2015,9,134,162,164,164,152,37.46888889,0.002314815,46.31333333,0.298158333,8,27,0
4,9,"SHC-GQF2","ICF",2015,9,134,162,164,164,153,37.49666667,0,47.61833333,2.058358333,7.666666667,33.33333333,0
4,9,"SHC-GQF2","ICF",2015,9,134,162,164,164,154,37.33444444,0.078948148,45.08,3.413275,8,27,0
4,9,"SHC-GQF2","ICF",2015,9,134,162,164,164,155,37.43333333,0.012033333,46.83666667,0.847658333,8,27,0
4,9,"SHC-GQF2","ICF",2015,9,134,162,164,164,156,37.49666667,0,47.27166667,2.071408333,4.333333333,33.33333333,0
4,9,"SHC-GQF2","ICF",2015,9,134,162,164,164,157,37.37,0.048133333,46.485,2.504925,8.666666667,16.33333333,0
4,9,"SHC-GQF2","ICF",2015,9,134,162,164,164,158,37.31666667,0.025011111,45.61333333,0.278258333,5.333333333,12.33333333,0
4,9,"SHC-GQF2","ICF",2015,9,134,162,164,164,159,37.51444444,0.000948148,45.7,0.301225,8,27,0
4,9,"SHC-GQF2","ICF",2015,9,134,162,164,164,160,37.41555556,0.009603704,45.525,0.1621,3.666666667,4.333333333,0
4,9,"SHC-GQF2","ICF",2015,9,134,162,164,164,161,37.47888889,0.006637037,44.90833333,0.023408333,8,27,0
5,7,"SHC-WC","ICF",2015,9,146,168,176,176,147,32.72,4.938811111,59.29333333,19.43640833,32,81,1
5,7,"SHC-WC","ICF",2015,9,146,168,176,176,148,33.29,9.260833333,53.865,9.647175,41,283,1
5,7,"SHC-WC","ICF",2015,9,146,168,176,176,149,33.45555556,9.945937037,61.34166667,14.21860833,30.66666667,522.3333333,1
5,7,"SHC-WC","ICF",2015,9,146,168,176,176,150,32.37666667,0.030044444,65.28333333,24.11505833,27,171,1
5,7,"SHC-WC","ICF",2015,9,146,168,176,176,151,33.07666667,5.7328,59.41666667,2.617058333,22.33333333,485.3333333,1
