"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
3466.23529411765,3262.75158730159,2061.22142857143,4210.34285714286,2936.96825396825,2426.02142857143,2518.75873015873,3561.85714285714,2463.18968253968,3222.46587301587,4356.25634920635,4552.44682539683,3718.79682539683,4679.55873015873,3426.26349206349,3629.51428571429,2400.02142857143,2252.53571428571,2078.35158730159,3848.99682539683,2728.12301587302,4066.14206349206,2154.76825396825,3098.86587301587,3960.19285714286,1618.99920634921,5.79920634920635,1.87121212121212,NA,NA,NA,NA,NA
1919.80952380952,2844.82777777778,3722.19285714286,3129.6,3209.2,3021.25714285714,3563.98968253968,2589.34206349206,4055.66722689076,2944.27301587302,3924.2373015873,3351.83492063492,2887.4373015873,3233.53253968254,2469.68571428571,2692.77063492064,3360.62857142857,3746.19920634921,3521.24682539683,3140.25,3808.57142857143,3501.28492063492,4494.53571428571,3954.51111111111,4201.05,3237.66587301587,3861.00634920635,3685.14285714286,2912.71349206349,NA,NA,NA,NA
3296.24,2876.09206349206,3034.48492063492,3272.07301587302,3346.98015873016,4629.05,2439.15873015873,2632.80634920635,3141.25714285714,3531.39285714286,2577.88571428571,3686.53015873016,3710.64444444444,3110.29444444444,3251.64682539683,3874.75158730159,3639.41825396825,3796.37142857143,3046.68571428571,3268.2753968254,3784.82777777778,4203.05634920635,2660.82142857143,3123.45,3663.69206349206,1617.34444444444,NA,NA,NA,NA,NA,NA,NA
2195.43790849673,2343.53253968254,2297.90714285714,2458.69444444444,1136.71428571429,2656.81587301587,1335.35873015873,2922.18015873016,1558.34920634921,2109.38015873016,2054.17777777778,1629.56825396825,2944.31428571429,3118.78968253968,2880.77063492064,3464.99285714286,2912.45714285714,1781.53015873016,1828.87857142857,1833.0373015873,2463.94285714286,2703.19117647059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2865.58947368421,3108.87857142857,5063.22777777778,3762.04444444444,2406.25,3857.8373015873,3240.73253968254,3064.25,3064.10396825397,2806.88571428571,2432.68253968254,3846.2753968254,4252.93015873016,3953.97063492063,2766.36428571429,3365.77142857143,3327.28492063492,2162.62857142857,3617.39920634921,3474.02142857143,2716.52063492064,3700.89743589744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2525.01648351648,1842.31111111111,2994.67301587302,3375.68253968254,3674.85714285714,3326.88492063492,2556.94206349206,2568.48571428571,3504.31349206349,2046.97142857143,3238.42857142857,3321.47301587302,3620.65714285714,3070.93571428571,3235.84444444444,3004.05714285714,2261.97063492063,1736.65714285714,3365.70396825397,3509.24682539683,3517.61587301587,3354.19285714286,2832.88571428571,2941.2253968254,3481.22142857143,1789.55158730159,3370.32063492063,3787.1619047619,NA,NA,NA,NA,NA
1.76373626373626,57.9015873015873,16.4444444444444,29.7873015873016,141.08253968254,33.1642857142857,3.2468253968254,10.5928571428571,1.92063492063492,57.8571428571429,3.39285714285714,114.364285714286,41.6,23.6349206349206,86.5357142857143,413.164285714286,5.24444444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78.2077922077922,3.74206349206349,114.8,155.571428571429,23.5206349206349,84.7515873015873,4.82142857142857,2.9015873015873,28.4214285714286,285.342063492064,11.2444444444444,30.3071428571429,56.6063492063492,11.2634920634921,1.62777777777778,1.28571428571429,6.56825396825397,9.48571428571429,43.0915915915916,27.6444444444444,488.770634920635,2035.57142857143,3959.47301587302,2871.07272727273,NA,NA,NA,NA,NA,NA,NA,NA,NA
2932.6619047619,2472.51428571429,2908.2373015873,3380.78968253968,1841.56428571429,2843.40634920635,2536.85714285714,1838.84444444444,2527.73571428571,2552.05714285714,2421.8,3947.45396825397,3277.77142857143,3528.87857142857,3795.79920634921,2610.00873015873,2703.28492063492,1822.37063492063,2666.52301587302,1981.2,2359.16428571429,1101.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87.6103896103896,5.51349206349206,5.25396825396825,29.9706349206349,276.789682539683,11.1071428571429,30.4539682539683,53.0857142857143,11.2,1.73968253968254,1.13968253968254,7.26587301587302,11.0753968253968,43.7611111111111,4.83333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
